,,,EleD_01,HydD1,EleD_02,EleD_03,EleD_04,EleD_05,EleD_06,EleD_07,EleD_08,EleD_09,EleD_10
period1,sc01,t0101, 0.209988185306973 ,, 0.237607158478782 , 0.222563728493166 , 0.24423400281273 , 0.233947597417549 , 3.49645726277541 , 3.6611649782136 , 3.40978778879407 , 4.05222767837095 , 3.45420287315633 
period1,sc01,t0102, 0.534755392589217 ,, 0.202889805373934 , 0.231342703712059 , 0.235866556222035 , 0.205918166309036 , 4.02221314162076 , 0.272523794687064 , 0.263406647698664 , 4.0049972353388 , 3.43123591439335 
period1,sc01,t0103, 0.206777431668133 ,, 0.22820245106358 , 0.239091708332679 , 0.204672605593952 , 0.232495285533514 , 0.500558382655201 , 5.77176320761719 , 3.76731077503241 , 0.244706078895201 , 2.17565291129058 
period1,sc01,t0104, 0.426751377677833 ,, 0.449013026661368 , 0.210844109710531 , 0.213069904637277 , 0.217609063745525 , 0.256888059874075 , 3.5302624214976 , 3.9440508420155 , 0.262172222292094 , 3.26723276505409 
period1,sc01,t0105, 0.210537159108243 ,, 0.196997177971453 , 0.22669526832705 , 0.201537618144994 , 0.222599186121806 , 3.97989508137491 , 3.56736057273039 , 0.260531847202385 , 2.22673017732279 , 3.8514379630812 
period1,sc01,t0106, 3.45298723571219 ,, 0.221962533538424 , 0.220269318689093 , 0.231276341384236 , 0.31884890979539 , 5.8323058261155 , 3.43193879259799 , 0.248543490380709 , 3.85899641434009 , 0.237359074689897 
period1,sc01,t0107, 0.298901234797774 ,, 0.200142720405931 , 0.306527871240339 , 0.247108776237114 , 0.231615582749553 , 3.53475868330875 , 0.261136730215251 , 2.56562205109771 , 3.27279309630589 , 3.80652116555075 
period1,sc01,t0108, 4.55400292506708 ,, 0.280381339432331 , 0.326326957251968 , 0.325854126165737 , 0.313997429485039 , 3.54997358298629 , 4.08054714384653 , 0.257563647564807 , 3.65412304753823 , 3.50779395978333 
period1,sc01,t0109, 0.232557360475588 ,, 0.217859721869546 , 0.2185203589693 , 0.293101506368312 , 0.241493473692932 , 3.66153066126026 , 3.40687029389595 , 3.71185639523095 , 6.01920043045452 , 0.232543686613229 
period1,sc01,t0110, 0.314536485220941 ,, 0.190562169401098 , 0.2291976864171 , 0.221960032157398 , 0.243547212630962 , 4.06522591856187 , 0.525257340938271 , 0.239739084113747 , 0.234326339484409 , 3.3118755923748 
period1,sc01,t0111, 0.232531279598718 ,, 0.226833045149049 , 0.247798094192458 , 0.20755735336072 , 0.240482395640804 , 3.33005151433413 , 3.32078791232516 , 3.54315084828031 , 3.61513738339769 , 3.69545727517627 
period1,sc01,t0112, 0.197273271682491 ,, 0.285180673036735 , 0.221770303153106 , 0.237835583327613 , 0.219227604639603 , 3.97762336415843 , 0.247650661496391 , 5.56621925365419 , 3.33630541713915 , 0.246317597842224 
period1,sc01,t0113, 0.290444273157722 ,, 0.288459685615789 , 0.301417317980478 , 0.214945018077546 , 0.310100723126225 , 3.36221267519823 , 0.233112005496647 , 4.28039854933753 , 3.44007362104125 , 0.248132175738968 
period1,sc01,t0114, 0.235441657204248 ,, 0.628742051102846 , 4.59417998824325 , 0.482214297826929 , 0.330736491402465 , 0.243778799332462 , 0.248786089629761 , 0.511752619884695 , 3.68234444815231 , 0.256022522667048 
period1,sc01,t0115, 0.231498684796751 ,, 0.203911279627994 , 0.220915510376177 , 0.449407435302793 , 0.470176077221292 , 0.256504793285563 , 0.510619476040102 , 0.517680120969382 , 0.536803571274329 , 0.253155809956907 
period1,sc01,t0116, 0.202700389673513 ,, 4.24586673631243 , 0.218492458698396 , 0.464647707548752 , 0.568191213939287 , 1.86491476285376 , 5.39046042038992 , 0.250229401413667 , 8.44579028894247 , 0.409283681430744 
period1,sc01,t0117, 0.31862841132839 ,, 0.374205890490208 , 4.08930398508012 , 0.249482430300418 , 0.211383005525567 , 0.240363828568634 , 0.525761830145729 , 2.56536277138349 , 0.399473201843775 , 3.6623544208465 
